tf_target	interaction
NR4A2_RPL35	0.8878475235016955
ATF3_PNRC1	0.8878475594643546
EGR1_ABHD17A	0.8878479203337724
E2F4_B3GALNT1	0.8878485797434599
ETS2_SMCO4	0.8878490834406974
SP1_SBK2	0.8878492723279954
MEF2A_FBXO40	0.8878496489412537
MAFG_RAMP1	0.887850059183342
USF2_MRPL54	0.8878504877527374
E2F4_TMEM63B	0.8878509207782335
GATA6_MPV17	0.8878510743760393
MAX_EBNA1BP2	0.8878515976371943
PBX2_CD9	0.8878522329838323
HSF1_METRN	0.8878527976152498
BHLHE40_PLIN4	0.887853132486033
NFIA_TPM4	0.8878531854378294
NFKB1_RAB1B	0.8878535012869606
ZNF76_NDUFA13	0.8878536431091337
TCFL5_GNAI2	0.8878544747737835
NFYC_CTSA	0.8878549227788715
NKX2-5_ITGA6	0.887855039140985
ZNF24_RRAGA	0.8878550839930168
ZNF24_USB1	0.8878551731957018
TFDP1_CD93	0.887855577731757
PBX2_RPS27	0.8878558701568812
HSF2_PSMB1	0.8878560589295975
CUX1_CSNK1G2	0.8878563515607056
TBX5_NISCH	0.8878565972854426
NFIC_DNAJA4	0.8878566994366677
E2F4_COL6A3	0.8878573652899193
SP100_CTSZ	0.8878577008747323
XBP1_LRRFIP1	0.887858004522017
NFE2L1_TIMM17B	0.8878580332088377
NFE2L1_IK	0.8878582554467078
STAT1_EIF3D	0.8878583425761362
E2F4_KLC2	0.8878593421762497
PBX3_FZD7	0.8878593496293299
HSF1_WRB	0.8878598390586787
MEF2C_MEPCE	0.8878606469088385
MAX_JOSD1	0.887861492787394
NFIA_RAB1B	0.887862041408911
SP3_PLD1	0.887862262802019
NKX2-5_PCYT1A	0.8878625309647619
ETS2_BTF3L4	0.887862764979525
ZNF274_ITGB1	0.8878628565875
HSF1_HIPK3	0.8878630568339404
KLF9_COPS9	0.8878635376885166
MAX_FBXO44	0.8878642780385664
GATA4_CSNK2A1	0.8878643703258821
ATF2_ZBTB47	0.8878644721838609
STAT5B_PRDX5	0.8878652553690873
KLF9_DYRK1A	0.8878659205312257
ELF1_MAPKAPK2	0.8878672022086033
STAT4_RPS27	0.8878673344004284
NR2F2_SMYD2	0.8878673495830082
MEF2A_PFDN6	0.8878675128149139
TBX5_AMD1	0.8878683137762691
MYC_EIF6	0.8878683421420637
MXI1_CSRP1	0.8878684270724183
SP3_NRBP1	0.8878684723414563
TFDP1_ITGA6	0.8878685201763179
ZNF274_YBX3	0.8878695338432934
PBX1_QDPR	0.8878695469241011
KLF6_KRBA1	0.8878696968190198
KLF3_PEF1	0.8878699491492165
GATA6_NAXE	0.8878701399774103
MEF2D_AXL	0.8878703479235057
NFE2L1_EIF2A	0.8878704154063672
SMAD1_TUSC2	0.8878705154997479
STAT1_SRSF1	0.8878708758411394
XBP1_PFDN5	0.8878710105634446
YY1_SRSF2	0.8878712765270034
STAT4_ANGPTL2	0.8878719064666786
ATF7_MIEN1	0.8878722454209524
PBX2_RHOB	0.8878725612046131
FOXJ3_MTUS1	0.887872739204156
MYC_NUCKS1	0.8878729030313273
ZFX_DDB1	0.8878736604862661
TBX5_SCRN2	0.8878739828440154
MEF2D_SELENOP	0.8878740570512459
HSF1_GDE1	0.8878743165710711
ATF2_TNS2	0.8878743636087718
TEAD2_SUPT4H1	0.8878748225811056
BHLHE40_DDX3X	0.8878750058448397
XBP1_MRPL28	0.887875076477065
ERG_ARFGAP2	0.887875232126345
